qid	subj	correct	qt	rationales	misconception	solution	solo	marzano	formula
91f4fc47	GEOMETRI	D	ABCD paralelkenar $|AE| = |EB|$ $|BF| = |FC|$ Buna göre, $\frac{A(BEF)}{A(DEF)}$ oranı kaçtır?	A: Yanlış alan oranlaması yapılarak EBF ve DEF üçgenlerinin alanları arasındaki ilişki hatalı kurulmuştur. | B: Üçgenlerin alanları hesaplanırken yükseklik ve taban ilişkisi yanlış değerlendirilmiş ve oran 1/4 bulunmuştur. | C: Paralelkenarın toplam alanından diğer köşelerdeki üçgenlerin alanları çıkarılırken işlem hatası yapılmıştır. | D✓: Doğru seçenektir; EBF üçgeninin alanı S/8, DEF üçgeninin alanı S/4 olup oranları 1/2'dir. | E: Alanlar oranı ters yazılmış veya üçgenlerin alan paylaşımları yanlış oranlanmıştır.	["paralelkenarda_alan_paylasimi", "ucgende_alan_formulu"]	["Adım 1: Paralelkenarın alanını S kabul ederek köşelerdeki üçgenlerin alanlarını S cinsinden yazarız.", "Adım 2: EBF üçgeninin alanı, kenar orta noktalarından dolayı tüm alanın sekizde biri yani S/8'dir.", "Adım 3: DEF üçgeninin alanı ise yapılan alan paylaştırma hesabı ile S/4 olarak bulunur.", "A	multistructural	comprehension	1/2
c5521841	GEOMETRI	B	ABC üçgen, $m(\widehat{BED}) = m(\widehat{ACB})$, $|AB| = 12$ cm, $|BD| = 3$ cm, $|DC| = 5$ cm. Buna göre, $|AE| = x$ kaç cm'dir?	A: Yanlış benzerlik ilişkisi kurularak veya işlem hatası yapılarak AE uzunluğu hatalı şekilde 8 cm olarak hesaplanmıştır. | B✓: Ortak B açısı kullanılarak yapılan üçgen benzerliği ve doğru kenar oranları sonucunda AE uzunluğu doğru olarak 9 cm bulu | C: Benzerlik oranında kenarların yanlış eşleştirilmesi veya toplama hatası yapılması sonucu AE uzunluğu hatalı olarak 10 cm | D: Benzerlik oranının ters kurulması veya işlem basamaklarında yapılan dikkatsizlik sonucu AE uzunluğu yanlışlıkla 11 cm he | E: Üçgenlerin benzerliği yerine doğrudan kenar uzunluklarının eşit olduğu varsayılarak AE uzunluğu hatalı şekilde 12 cm bul	["benzerlik_oraninin_yanlis_kurulmasi", "ortak_aci_belirleme_hatasi"]	["Adım 1: B açısının ortak olduğunu belirleyerek BED ve BCA üçgenleri arasında A.A. benzerliği kurun.", "Adım 2: Benzerlik oranını yazarak BE uzunluğunu 3 cm olarak elde edin.", "Adım 3: AB uzunluğundan BE uzunluğunu çıkararak AE uzunluğunu 9 cm bulunuz."]	multistructural	comprehension	9
b8ecaca9	GEOMETRI	D	Dik koordinat düzleminde, O noktası başlangıç noktası ve a > 0, b > 0 olmak üzere A(a, b) noktası veriliyor. OA doğrusu x-ekseni ile pozitif yönde 20°	A: Dönme açısının doğrudan taban açısı olarak alınması veya yanlış üçgen iç açıları toplamı hesabı bu hatalı sonuca götürür | B: İki doğru arasındaki dönme açısı olan 50 derecenin, ikizkenar üçgenin taban açısı ile karıştırılmasıyla bu seçeneğe ulaş | C: Koordinat eksenleri arasındaki simetriyi ve dönme açısını yanlış hesaplayarak taban açısının hatalı bulunması bu seçeneğ | D✓: A ve B noktalarının simetrisinden dönme açısı 50 derece bulunur ve OAB ikizkenar üçgeninin taban açısı 65 derece hesapla | E: B noktasının x-ekseniyle yaptığı 70 derecelik açının doğrudan aranan OAB açısı olarak düşünülmesi bu hataya sebep olur.	["nokta_simetrisi_karisikligi", "donme_acisi_hesaplama_hatasi", "ikizkenar_ucgen_taban_acisi"]	["Adım 1: A(a,b) noktasının x-ekseniyle yaptığı açı 20 derece olduğundan tan(20) = b/a eşitliği elde edilir.", "Adım 2: B(b,a) noktasının x-ekseniyle yaptığı açı tan(theta) = a/b = cot(20) eşitliğinden 70 derece olarak bulunur.", "Adım 3: İki nokta arasındaki dönme açısı olan AOB açısının ölçüsü 70 	multistructural	comprehension	
d92a2c78	MATEMATIK	B	Aşağıda verilen grafikte boyalı bölgenin alanı $20$ birimkaredir. $\int_{a}^{b} f(x-3)dx = 20$ olduğuna göre, $a+b$ farkı kaçtır?	A: Değişken değiştirme sırasında sınırların sola kaydırılması veya yanlış yönde ötelenmesi durumunda -8 sonucuna ulaşılabil | B✓: Değişken değiştirme yapıldığında sınırların 3 birim sağa kaymasıyla a=-4 ve b=0 bulunur, toplamları -4 olur. | C: İntegral sınırlarının ötelenmesinde yapılan işlem hatası veya grafik sınırlarının yanlış okunması sonucu -2 değeri bulun | D: Fonksiyonun ters yönde ötelendiği düşünülerek sınırların yanlış hesaplanması durumunda sonuç pozitif 4 olarak bulunabili | E: Sınırların ötelenmesi yerine doğrudan ekleme yapılması veya işaret hatası sonucu 8 cevabına ulaşılabilir.	["integral_degisken_degistirme_hatasi", "fonksiyon_otelenmesi_karisikligi"]	["Adım 1: Grafikteki boyalı bölgenin alanını ifade eden integral \\int_{-7}^{-3} f(x)dx = 20 olarak yazılır.", "Adım 2: Verilen \\int_{a}^{b} f(x-3)dx = 20 integralinde u = x-3 dönüşümü yapılır.", "Adım 3: Dönüşüm sonrası yeni sınırlar a-3 = -7 ve b-3 = -3 olarak belirlenir.", "Adım 4: Buradan a = -	multistructural	comprehension	
3672920e	TARIH	A	Osmanlı Devleti XVII. yüzyıldan itibaren yaşadığı ekonomik sıkıntılar karşısında avarez vergilerini ve imdadiye vergilerini daha sık ve daha çok topla	A✓: A seçeneği, avarız ve imdadiye vergilerinin sırasıyla gayrimüslim erkeklerden ve varlıklı kişilerden alınan vergiler old | B: B seçeneğindeki olağanüstü durum ve Müslüman çiftçi tanımları, parçada belirtilen vergi türlerinin karşılığı değildir. | C: C seçeneğinde verilen yabancı tüccar ve esnaf tanımları, avarız ve imdadiye vergilerinin kapsamıyla uyuşmamaktadır. | D: D seçeneğindeki kamu görevlisi ve gayrimüslim çiftçi ifadeleri, sözü edilen vergilerin doğru tanımları değildir. | E: E seçeneğindeki olağanüstü durum vergisi tanımı doğru olsa da imdadiye vergisiyle yapılan eşleştirme bu seçeneği yanlış 	["vergi_turleri_karistirilmasi", "osmanli_ekonomik_kavramlari"]	["Adım 1: Soru kökündeki avarız ve imdadiye vergilerinin Osmanlı maliyesindeki tanımları belirlenir.", "Adım 2: Avarız vergisinin gayrimüslim erkeklerden, imdadiyenin ise varlıklı kimselerden alındığı bilgisi hatırlanır.", "Adım 3: Bu tanımlara tam olarak uyan A seçeneği doğru cevap olarak işaretlen	multistructural	comprehension	
000a8fee	TARIH	C	Aşağıdakilerden hangisi Osmanlı Devleti'nin XIX. yüzyılda kaybettiği topraklardan biri değildir?	A: Eflak ve Boğdan, 1878 Berlin Antlaşması ile bağımsızlığını kazanarak 19. yüzyılda Osmanlı egemenliğinden çıkmıştır. | B: Batum, 1877-1878 Osmanlı-Rus Savaşı sonrasında imzalanan Berlin Antlaşması ile 19. yüzyılda Rusya'ya bırakılmıştır. | C✓: Arnavutluk, 1912 yılında Birinci Balkan Savaşı sırasında bağımsızlığını ilan ederek 20. yüzyılda Osmanlı'dan ayrılmıştır | D: Karadağ, 1878 Berlin Antlaşması ile bağımsızlığını elde ederek 19. yüzyılda Osmanlı Devleti'nden ayrılan topraklardandır | E: Mora Yarımadası, 1829 Edirne Antlaşması ve 1830 Londra Protokolü ile 19. yüzyılda Yunanistan'ın parçası olmuştur.	["yüzyıl_hesaplama_hatası", "balkan_savaşları_kronolojisi"]	["Adım 1: Soru kökünde Osmanlı Devleti'nin 19. yüzyılda kaybetmediği toprağın hangisi olduğu sorulmaktadır.", "Adım 2: Seçeneklerdeki Eflak-Boğdan, Batum, Karadağ ve Mora'nın 19. yüzyıldaki antlaşmalarla kaybedildiği belirlenir.", "Adım 3: Arnavutluk'un ise 20. yüzyıl başlarında, 1912 Balkan Savaşı 	unistructural	comprehension	
a7b03987	TURKCE	C	Ahmet Kutsi Tecer, Türk edebiyatında şiirliğin yanı sıra tiyatro yazarlığı ile de ön plana çıkmış bir sanatçımızdır.  Tiyatro türünde eserler veren Te	A: Birinci sözcük olan "sanatçımızdır" somut bir ad olduğu için bu değerlendirme yanlıştır. | B: İkinci sözcük olan "yazarlığı" türemiş yapılı bir ad olduğundan basit ad olarak değerlendirilemez. | C✓: Üçüncü sözcük olan "malzeme" çokluk eki almadığı için tekil bir addır ve bu değerlendirme doğrudur. | D: Dördüncü sözcük olan "halk" tür adı olduğu için özel ad olarak nitelendirilemez. | E: Beşinci sözcük olan "değişimi" türemiş yapılı bir ad olduğundan birleşik ad değildir.	["isim_yapisi_karistirma", "tekil_cogul_ad_ayrimi", "somut_soyut_ad_ayrimi"]	["Adım 1: Parçada geçen altı çizili sözcüklerin yapısal ve anlamsal özellikleri tek tek belirlenir.", "Adım 2: Seçeneklerdeki dil bilgisi terimleri ile sözcüklerin özellikleri karşılaştırılarak yanlış olanlar elenir.", "Adım 3: Üçüncü sözcük olan \"malzeme\" ifadesinin tekil ad olduğu tespit edilere	extended_abstract	metacognitive	
262816e3	COGRAFYA	A	Fiziksel çözünmenin fazla görüldüğü bir yerde;  I. mantar kaya, II. traverten, III. löss, IV. sarkıt - dikit, V. tafoni  yer şekillerinden hangilerini	A✓: Fiziksel çözünmenin etkili olduğu kurak bölgelerde nem ve karstik süreçlere bağlı oluşan mantar kaya ve travertenlerin g | B: Traverten ve sarkıt-dikit kimyasal aşınım şekilleri olup, fiziksel çözünmenin yoğun olduğu kurak alanlarda bu ikilinin g | C: Fiziksel çözünmeyle doğrudan ilişkili olan tafoni kurak bölgelerde sıkça görüldüğü için bu seçenek doğru cevap olamaz. | D: Rüzgar biriktirmesiyle oluşan löss kurak bölgelerde yaygın olduğundan, bu ikilinin görülme olasılığının az olduğu söylen | E: Kurak bölgelerde fiziksel çözünmeyle oluşan löss ve tafoni yaygın olduğundan, bu şekillerin görülme olasılığı az değildi	["fiziksel_ve_kimyasal_cozunme_farki", "kurak_bolge_yer_sekilleri"]	["Adım 1: Fiziksel çözünmenin kurak ve yarı kurak iklim bölgelerinde şiddetli olduğu belirlenir.", "Adım 2: Verilen yer şekillerinden hangilerinin kurak bölgelerde, hangilerinin nemli veya karstik bölgelerde oluştuğu analiz edilir.", "Adım 3: Kurak bölgelerde görülme olasılığı en az olan mantar kaya	multistructural	knowledge_utilization	
641d7c5e	GEOMETRI	E	Aşağıda verilen tüm ayrıtlarının uzunlukları eşit olan kare dik piramidin hacmi 36√2 birimküptür.  P noktası [TC] ayrıtı üzerinde herhangi bir nokta o	A: Yanlış ayrıt uzunluğu hesaplanmış veya düzlemsel açınım yapılmadan doğrudan hatalı bir geometrik bağıntı kullanılmıştır. | B: Piramidin yüzey açınımı yapılmadan taban köşegen uzunluğu en kısa mesafe olarak hatalı şekilde seçilmiştir. | C: Hacim formülünden ayrıt uzunluğu yanlış bulunmuş ve açınımdaki 120 derecelik açı göz ardı edilmiştir. | D: Hacim değerinden ayrıt uzunluğu 6 birim olarak hatalı hesaplanmış ve en kısa mesafe buna göre bulunmuştur. | E✓: Doğru ayrıt uzunluğu ile yüzeyler düzleme açılıp 30-30-120 üçgeni kullanılarak en kısa mesafe doğru hesaplanmıştır.	["yuzeyde_en_kisa_yol_bulma", "piramit_hacim_formulu", "ucgenler_ozel_ucgenler"]	["Adım 1: Piramidin hacim formülü yardımıyla bir ayrıt uzunluğu a = 8 birim olarak belirlenir.", "Adım 2: TBC ve TDC eşkenar üçgen yüzeyleri TC ayrıtı boyunca düzlemsel olarak yan yana açılır.", "Adım 3: Açınımda oluşan BTD açısının ölçüsü 120 derece ve TB = TD = 8 birimdir.", "Adım 4: En kısa |PB| 	multistructural	comprehension	8*sqrt(3)
5ab42cc0	GEOMETRI	C	ABCDE düzgün beşgen, TFKLMN düzgün altıgen, $[BC] \parallel [NT]$. Buna göre, $m(\widehat{EPN}) = \alpha$ kaç derecedir?	A: Beşgen ve altıgenin iç açılarının yanlış hesaplanması veya paralellik ilişkisinin hatalı kurulması sonucu bu seçeneğe ul | B: Çokgenlerin dış açıları toplamı üzerinden yapılan hatalı bir toplama veya çıkarma işlemi bu yanlış sonuca götürmüş olabi | C✓: Düzgün çokgenlerin iç açıları ve paralellik özellikleri doğru kullanılarak alfa açısı doğru şekilde 56 derece olarak hes | D: Paralel doğrular arasındaki açı kurallarının yanlış uygulanması veya işlem hatası yapılması bu seçeneğin seçilmesine ned | E: İç açılar toplamı formülünün karıştırılması veya geometrik şekillerin konumlarının yanlış yorumlanması bu hatalı sonuca 	["duzgun_cokgen_ic_aci_hatasi", "paralellik_aci_iliskisi_hatasi"]	["Adım 1: Düzgün beşgenin bir iç açısını 108 derece ve düzgün altıgenin bir iç açısını 120 derece olarak buluruz.", "Adım 2: BC ve NT doğrularının paralellik bilgisini kullanarak kenarlar arasındaki yön açısı ilişkilerini belirleriz.", "Adım 3: Kesişim bölgesinde oluşan geometrik şekillerin iç açıla	multistructural	comprehension	56
570e8b89	GENEL	A	Erdemli insan aşırı uçtaki davranışlardan kaçar. Örneğin 'gözü karalık' ile 'korkaklık' arasında 'cesaret' seçer, 'savurganlık' ile 'cimrilik' arasınd	A✓: İki aşırı uç arasındaki orta yolu bulmayı ve aşırılıklardan kaçınmayı ifade eden ilke ölçülülüktür. | B: Adalet, hak ve hukuka uygunluğu ifade eder ancak parçadaki aşırı uçlardan kaçınma durumunu doğrudan açıklamaz. | C: Bilgelik, derin bilgi ve akıllılık durumudur fakat metindeki davranışsal denge ve orta yol vurgusunu karşılamaz. | D: Çalışkanlık, gayretli ve üretken olmakla ilgilidir ve parçada bahsedilen iki uç arasındaki dengeyle bir ilişkisi yoktur. | E: Doğruluk, dürüst ve gerçekçi olmayı belirtir ancak metindeki aşırılıklardan kaçınarak ortayı seçme ilkesini tanımlamaz.	["altin_orta_kavrami", "erdem_etikleri_karisikligi"]	["Adım 1: Parçada erdemli insanın aşırı uç davranışlardan kaçınarak orta yolu seçtiği vurgulanmaktadır.", "Adım 2: Gözü karalık ile korkaklık arasındaki cesaret, iki uç noktanın dengelenmesini yani ölçülülüğü gösterir.", "Adım 3: Bu doğrultuda aşırılıklardan kaçınma ve dengeyi bulma ilkesi doğrudan 	multistructural	comprehension	
e605ed23	MATEMATIK	C	16 binadan oluşan bir iş kompleksindeki binaların tabanları yukarıdaki 16 birim kareden oluşan tablo ile ifade edilmiştir. Karelerin dışına yazılan ra	A: Gökdelen bulmacası kurallarına göre satır ve sütunlar doldurulduğunda harflerin değerleri toplamı 5 olamaz. | B: Her satır ve sütunda farklı yükseklikteki binalar yerleştirildiğinde elde edilen a, b ve c değerlerinin toplamı 6'yı ver | C✓: İpucu sayılarına göre yerleşim yapıldığında a, b ve c değerleri sırasıyla bulunarak toplamları 7 olarak elde edilir. | D: Görüş yönündeki bina sayıları ve satır-sütun kuralları doğru uygulandığında harflerin toplamı 8 değerine ulaşamaz. | E: Tablodaki binaların kat sayıları kurallara uygun yerleştirildiğinde a, b ve c toplamı 9 olmamaktadır.	["gökdelen_bulmacası_kurallarını_yanlış_yorumlama", "satır_sütun_tekrar_hatası"]	["Adım 1: Dışarıdaki ipucu sayılarını kullanarak 4 katlı en yüksek binaların konumlarını kesinleştirin.", "Adım 2: Her satır ve sütunda her rakamın bir kez bulunması kuralıyla diğer binaları yerleştirin.", "Adım 3: Belirlenen a, b ve c harflerine karşılık gelen kat sayılarını tespit edin.", "Adım 4:	multistructural	comprehension	
6b3ca842	GEOMETRI	E	Dik koordinat sisteminde verilen A(3, 5) noktasına R90° - (A) dönüşümü uygulanıyor.  Buna göre elde edilen noktanın koordinatları aşağıdakilerden hang	A: Koordinatların yer değiştirmesiyle oluşan (5, 3) noktası, y=x doğrusuna göre simetri alındığında elde edilir. | B: (-5, 3) noktası, orijin etrafında pozitif yönde 90 derece döndürme formülü uygulandığında elde edilir. | C: (-3, 5) noktası, sadece x bileşeninin işaretinin değiştiği y eksenine göre yansıma durumunda elde edilir. | D: (5, -3) noktası, orijin etrafında negatif yönde 90 derece döndürme yapıldığında elde edilen koordinatlardır. | E✓: A(3, 5) noktasına uygulanan dönüşüm sonucunda elde edilen doğru koordinatlar (3, -5) noktasıdır.	["dönme_yönü_karıştırma", "yansıma_ekseni_karıştırma"]	["Adım 1: A(3, 5) noktasına uygulanacak dönüşümün kuralı tanımlanır.", "Adım 2: Dönüşüm kuralı uygulandığında noktanın y bileşeni işaret değiştirerek -5 olur.", "Adım 3: Böylece elde edilen yeni noktanın koordinatları (3, -5) olarak bulunur."]	multistructural	knowledge_utilization	(3, -5)
