idx	bucket	id	book	page	q_no	image_path	ok	jaccard	substr_pct	db_len	db_tail80	ocr_text	raw_response
28	direct	2928494c-7dce-51dd-9b79-fb21011bfb87	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	359	1	C:\Users\husey\kiro2\d-dataset\output\crops\Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası\Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0359_q01.png	True	0.087	0.188	144	enn şemasıyla verilen bağıntılardan hangileri A'dan B'ye bir fonksiyon belirtir?	Aşağıda verilen ifadelerden hangileri fonksiyondur?  I. f : R⁺→R, f(x) = $\frac{x + 3}{x + 2}$ II. g : R→R, g(x) = $\frac{x + 2}{5}$ III. h : Z→N, h(x) = |x - 3|	```json {   "soru_metni": "Aşağıda verilen ifadelerden hangileri fonksiyondur?\n\nI. f : R⁺→R, f(x) = $\\frac{x + 3}{x + 2}$\nII. g : R→R, g(x) = $\\frac{x + 2}{5}$\nIII. h : Z→N, h(x) = |x - 3|",   "secenekler": {     "A": "",     "B": "",     "C": "",     "D": "",     "E": ""   },   "has_diagram":
29	direct	9a32a1c8-0e34-58a5-bdba-21e6772d28ff	Full-2019-2020-Ayt-Matematik Soru Bankası	181	8	C:\Users\husey\kiro2\d-dataset\output\crops\Full-2019-2020-Ayt-Matematik_Soru_Bankası\Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0181_q03.png	False	0	0	179	göre, $\lim_{|OK| \to 4^-} \frac{A(KBCDONO)}{A(OPRM)}$ ifadesinin değeri kaçtır?	ERROR:Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-conten	
30	direct	b22c8249-3e80-5515-ba95-01ca3c8c0db1	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	221	12	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0221_q05.png	True	0.225	0.722	199	(\widehat{ECB}) = 60^\circ$ Yukarıda verilenlere göre, $A(ABCD)$ kaç $br^2$ dir?	ABCD yamuk [DC] // [AB] [CB] ⊥ [AB] |DE| = |EA| |DC| = $2\sqrt{3}$ br |AB| = $6\sqrt{3}$ br m(ECB) = 60°  Yukarıda verilenlere göre, A(ABCD) kaç br² dir?	```json {   "soru_metni": "ABCD yamuk\n[DC] // [AB]\n[CB] ⊥ [AB]\n|DE| = |EA|\n|DC| = $2\\sqrt{3}$ br\n|AB| = $6\\sqrt{3}$ br\nm(ECB) = 60°\n\nYukarıda verilenlere göre, A(ABCD) kaç br² dir?",   "secenekler": {     "A": "$40\\sqrt{3}$",     "B": "$36\\sqrt{3}$",     "C": "$32\\sqrt{3}$",     "D": "$
31	page	68d394cb-0db0-59db-ab95-2edcf21fe197	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	62	7	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Aktif Ogrenme 2025 Tyt Fizik Soru Bankası\sayfa_0062.png	True	0.872	0.970	275	i sıvı basıncının zamana göre değişim grafiği aşağıdakilerden hangisi gibi olur?	Düşey kesiti şekildeki gibi olan, eşit hacim bölmeli kap içerisindeki sıvı, akış hızı sabit muslukla boşaltılmak isteniyor. Musluk bir bölmeyi t sürede boşaltıyor.  Buna göre, K noktasındaki sıvı bası	```json {   "soru_no": 7,   "soru_metni": "Düşey kesiti şekildeki gibi olan, eşit hacim bölmeli kap içerisindeki sıvı, akış hızı sabit muslukla boşaltılmak isteniyor. Musluk bir bölmeyi t sürede boşaltıyor.\n\nBuna göre, K noktasındaki sıvı basıncının zamana göre değişim grafiği aşağıdakilerden hang
32	page	1558c182-17ca-50d1-b44b-762b0fb76b73	345 2025 Tyt Ayt Geometri Soru Bankası 1	13	6	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0013.png	True	0.286	0.462	175	idehat{BCD}) = 150^ ext{o}$ olduğuna göre, $m(\widehat{BFD}) = x$ kaç derecedir?	[BE] ve [DA] açıortay m(BAD) = 80°, m(BED) = 100°, m(BCD) = 150° olduğuna göre, m(BFD) = x kaç derecedir?	```json {   "soru_no": 6,   "soru_metni": "[BE] ve [DA] açıortay\nm(BAD) = 80°, m(BED) = 100°, m(BCD) = 150°\nolduğuna göre, m(BFD) = x kaç derecedir?",   "secenekler": {     "A": "120",     "B": "110",     "C": "115",     "D": "100",     "E": "105"   },   "has_diagram": true,   "diagram_description
33	page	a08eb9b4-8e79-51c3-8351-96cdd83ca952	Bilgi Sarmalı-2024-Ayt-Matematik Soru Bankası	58	13	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2024-Ayt-Matematik Soru Bankası\sayfa_0058.png	True	0.704	0.949	370	ı $(x^2+5x+14) \text{ cm}^2$ olduğuna göre, oluşan bu şeklin çevresi kaç cm'dir?	Kısa kenarı 4 cm ve uzun kenarı (x + 6) cm olan dikdörtgen şeklinde iki eş kağıt parçası aşağıda verilmiştir.  Bu kâğıt parçalarından birinin kısa kenarı, diğerinin uzun kenarına paralel olacak şekild	```json {   "soru_no": 13,   "soru_metni": "Kısa kenarı 4 cm ve uzun kenarı (x + 6) cm olan dikdörtgen şeklinde iki eş kağıt parçası aşağıda verilmiştir.\n\nBu kâğıt parçalarından birinin kısa kenarı, diğerinin uzun kenarına paralel olacak şekilde aşağıdaki gibi üst üste konuluyor.\n\nKâğıtlar üst ü
34	page	9dee5933-d5c6-5e6a-98cb-db8c492f9aeb	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	119	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası\sayfa_0119.png	True	0.854	0.970	356	uğuna göre, gülle yerden en çok kaç metre yükseğe çıkabilir? (1 birim = 1 metre)	Fırlatılan bir güllenin dik koordinat düzleminde modellemesi aşağıda verilmiştir.  Toptan fırlatılan gülle O noktasından başlayarak y = 16·x - x² denklemi ile parabolik bir yol izleyip en son A noktas	```json {   "soru_no": 10,   "soru_metni": "Fırlatılan bir güllenin dik koordinat düzleminde modellemesi aşağıda verilmiştir.\n\nToptan fırlatılan gülle O noktasından başlayarak y = 16·x - x² denklemi ile parabolik bir yol izleyip en son A noktasında gözlemleniyor.\n\nFırlatıldığı anda güllenin yerd
35	page	0ac83828-9ded-52d2-a0dc-f3a8843ffd90	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	111	4	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Aktif Ogrenme 2025 Tyt Fizik Soru Bankası\sayfa_0111.png	True	0.243	0.462	147	'de ulaşmaktadır. Buna göre, cismin ortalama hız ve ortalama sürati kaç m/s'dir?	Çember şeklindeki bir yolun A noktasından B noktasına şekildeki yörüngeyi izleyerek 5 sn de gelen bir cismin, sürat ve hızı kaç m/s dir? (π = 3)	```json {   "soru_no": 4,   "soru_metni": "Çember şeklindeki bir yolun A noktasından B noktasına şekildeki yörüngeyi izleyerek 5 sn de gelen bir cismin, sürat ve hızı kaç m/s dir? (π = 3)",   "secenekler": {     "A": "Sürat: 6, Hız: 6",     "B": "Sürat: 6, Hız: 4",     "C": "Sürat: 4, Hız: 6",     "
36	page	c141e077-7a3a-5234-984b-502f9f291420	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	241	15	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Mikro-2024-Tyt Ayt-Geometri Soru Bankası\sayfa_0241.png	True	0.267	1.000	132	[AB]$, $|AE|=3$ cm, $|EC|=4$ cm olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	ABCD deltoid [AC] ve [DB] köşegen [AD] ⊥ [AB] |AE| = 3 cm |EC| = 4 cm olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	```json {   "soru_no": 15,   "soru_metni": "ABCD deltoid\n[AC] ve [DB] köşegen\n[AD] ⊥ [AB]\n|AE| = 3 cm\n|EC| = 4 cm\nolduğuna göre, Alan(ABCD) kaç santimetrekaredir?",   "secenekler": {     "A": "21",     "B": "22",     "C": "24",     "D": "25",     "E": "26"   },   "has_diagram": true,   "diagram
37	page	38fe363b-46a9-569b-9602-b96fe34d1b07	2019-2020-ACİL-AYT-Matematik Soru Bankası	299	12	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2019-2020-ACİL-AYT-Matematik Soru Bankası\sayfa_0299.png	True	0.600	0.882	187	na göre,  $\lim_{h \to 0^+} \frac{\pi r^2 h}{h^2+x^2}$  limitinin değeri kaçtır?	Aşağıda hacmi 12π birimküp olan bir dik koni verilmiştir. Konide h birim yüksekliğinde su vardır.  Buna göre,  lim_{h→H⁻} πr²h  limitinin değeri kaçtır?	```json {   "soru_no": 12,   "soru_metni": "Aşağıda hacmi 12π birimküp olan bir dik koni verilmiştir. Konide h birim yüksekliğinde su vardır.\n\nBuna göre,\n\nlim_{h→H⁻} πr²h\n\nlimitinin değeri kaçtır?",   "secenekler": {     "A": "4π",     "B": "8π",     "C": "12π",     "D": "24π",     "E": "36π" 
38	page	1e196855-d36f-5f56-bb3a-573b1915a2a2	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	370	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\C1CELL-2024-TYT-AYT-Geometri Soru Bankası\sayfa_0370.png	True	0.833	1.000	78	Dik koordinat düzleminde verilenlere göre, OAC üçgeninin alanı kaç $br^2$ dir?	Dik koordinat düzleminde verilenlere göre, OAC üçgeninin alanı kaç br² dir?	```json {   "soru_no": 9,   "soru_metni": "Dik koordinat düzleminde verilenlere göre, OAC üçgeninin alanı kaç br² dir?",   "secenekler": {     "A": "2",     "B": "3",     "C": "4",     "D": "5",     "E": "6"   },   "has_diagram": true,   "diagram_description": "Bir dik koordinat düzleminde OAC üçgen
39	page	7b64d69d-2f2b-5a23-99a3-302ac611bfe4	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	275	2	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Mikro Orijinal-2025-Ayt-Geometri Soru Bankası\sayfa_0275.png	True	1.000	1.000	126	ileri aşağıda bir kenar uzunluğu verilen karenin içerisine tam olarak sığabilir?	Yukarıda yarıçapları verilen çemberlerden hangileri aşağıda bir kenar uzunluğu verilen karenin içerisine tam olarak sığabilir?	```json {   "soru_no": 2,   "soru_metni": "Yukarıda yarıçapları verilen çemberlerden hangileri aşağıda bir kenar uzunluğu verilen karenin içerisine tam olarak sığabilir?",   "secenekler": {},   "has_diagram": true,   "diagram_description": "Sırasıyla 3 cm, √10 cm ve 2√2 cm yarıçaplı I, II ve III eti
40	page	76af5de2-45dd-50ad-9b8c-165de5a5d133	Orijinal-2024-Geometri Soru Bankası	31	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Orijinal-2024-Geometri Soru Bankası\sayfa_0031.png	True	0.194	0.933	157	|BD|=|DC|$, $|AD|=6\sqrt{2}$ cm. Yukarıda verilenlere göre, $|BE|=x$ kaç cm'dir?	BAC dik üçgen [BA] ⊥ [AC] [BE] ⊥ [ED] [AH] ⊥ [BC] |BD| = |DC| |AB| = 6√2 cm  Yukarıda verilenlere göre, |BE| = x kaç cm'dir?	```json {   "soru_no": 9,   "soru_metni": "BAC dik üçgen\n[BA] ⊥ [AC]\n[BE] ⊥ [ED]\n[AH] ⊥ [BC]\n|BD| = |DC|\n|AB| = 6√2 cm\n\nYukarıda verilenlere göre, |BE| = x kaç cm'dir?",   "secenekler": {     "A": "4",     "B": "6",     "C": "7",     "D": "8",     "E": "3√3"   },   "has_diagram": true,   "dia
41	page	30147d50-1918-5d09-8319-f54e54ea71ee	Bilgi Sarmal 2025 Tyt Kimya Video Ders Kitabı	24	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmal 2025 Tyt Kimya Video Ders Kitabı\sayfa_0024.png	True	0.708	0.706	175	 izobardır. III. X ve Z tanecikleri izotoptur. ifadelerinden hangileri doğrudur?	$_{a}^{2a+1}X$, $_{a-1}^{2a-2}Y$, $_{a-1}^{2a-2}Z$  Yukarıda verilen tanecikler ile ilgili,  I. X ve Y tanecikleri izotondur. II. Y ve Z tanecikleri izobardır. III. X ve Z tanecikleri izotoptur.  ifad	```json {   "soru_no": 9,   "soru_metni": "$_{a}^{2a+1}X$, $_{a-1}^{2a-2}Y$, $_{a-1}^{2a-2}Z$\n\nYukarıda verilen tanecikler ile ilgili,\n\nI. X ve Y tanecikleri izotondur.\nII. Y ve Z tanecikleri izobardır.\nIII. X ve Z tanecikleri izotoptur.\n\nifadelerden hangileri doğrudur?",   "secenekler": {  
42	page	430bb68e-34f7-5fca-a31d-d78670ad8726	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	334	14	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası\sayfa_0334.png	True	0.724	0.941	165	çekmektedir. $|CB| = 4 \text{ km}$. Buna göre, $|AC|$ mesafesi en az kaç km'dir?	C noktasındaki bir kamera dikey olarak yükselen bir sıcak hava balonunun fotoğrafını çekmektedir.  |CB| = |BA| = 4 km  Buna göre, |AC| mesafesi en az kaç km'dir?	```json {   "soru_no": 14,   "soru_metni": "C noktasındaki bir kamera dikey olarak yükselen bir sıcak hava balonunun fotoğrafını çekmektedir.\n\n|CB| = |BA| = 4 km\n\nBuna göre, |AC| mesafesi en az kaç km'dir?",   "secenekler": {     "A": "1",     "B": "2",     "C": "2√2",     "D": "3",     "E": "4√
43	page	c68593ea-75a3-524d-bf02-29bebc5668ad	Aromat 2024 Ayt Fen Bilimleri	12	None	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Aromat 2024 Ayt Fen Bilimleri\sayfa_0012.png	True	0.057	0.184	316	{B}_2$ manyetik alanlarının yönleri ile ilgili aşağıdakilerden hangisi doğrudur?	Üzerinden i akımı geçen şekildeki iletken çerçeve B⃗ manyetik alanının etkisiyle d ekseni çevresinde dönmektedir.  Buna göre,  I. Çerçevenin 1 ve 2 kenarlarına uygulanan kuvvetler zıt yönlüdür. II. i 	```json {   "soru_no": null,   "soru_metni": "Üzerinden i akımı geçen şekildeki iletken çerçeve B⃗ manyetik alanının etkisiyle d ekseni çevresinde dönmektedir.\n\nBuna göre,\n\nI. Çerçevenin 1 ve 2 kenarlarına uygulanan kuvvetler zıt yönlüdür.\nII. i akımı azaltılırsa çerçeveye uygulanan manyetik to
44	page	77011d84-9797-5553-b8ab-1db59370262a	345 2025 Ayt Matematik Soru Bankası	113	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Ayt Matematik Soru Bankası\sayfa_0113.png	True	0.650	0.786	111	 bölgesinde birim çember üzerindedir. Buna göre, $\cos(2\pi - u)$ değeri kaçtır?	P(\frac{cotα}{3}, sinα) noktası, analitik düzlemin I. bölgesinde birim çember üzerindedir.  Buna göre, cos(2π - α) değeri kaçtır?	```json {   "soru_no": 10,   "soru_metni": "P(\\frac{cotα}{3}, sinα) noktası, analitik düzlemin I. bölgesinde birim çember üzerindedir.\n\nBuna göre, cos(2π - α) değeri kaçtır?",   "secenekler": {     "A": "\\frac{\\sqrt{2}}{2}",     "B": "\\frac{2\\sqrt{2}}{3}",     "C": "\\frac{\\sqrt{2}}{3}",    
45	page	cb6c49d7-66a1-5b50-88c1-fbf3cc59441b	345 2025 Tyt Ayt Geometri Soru Bankası 1	101	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0101.png	True	0.200	1.000	138	 $|AB| = 6$ cm $|EB| = 8$ cm $|ED| = 9$ cm olduğuna göre, $|BC| = x$ kaç cm'dir?	E, B ve C doğrusal ED // AB AE // CD |AB| = 6 cm |EB| = 8 cm |ED| = 9 cm olduğuna göre, |BC| = x kaç cm'dir?	```json {   "soru_no": 10,   "soru_metni": "E, B ve C doğrusal\nED // AB\nAE // CD\n|AB| = 6 cm\n|EB| = 8 cm\n|ED| = 9 cm\nolduğuna göre, |BC| = x kaç cm'dir?",   "secenekler": {     "A": "2",     "B": "3",     "C": "4",     "D": "5",     "E": "6"   },   "has_diagram": true,   "diagram_description":
46	page	1aaf5def-a070-5bfb-b06f-ea187c431f64	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	189	8	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\C1CELL-2024-TYT-AYT-Geometri Soru Bankası\sayfa_0189.png	True	0.871	1.000	242	irc$ olduğuna göre, bu düzgün çokgenin bir iç açısının ölçüsü $x$ kaç derecedir?	Şekilde, bir düzgün çokgenin altı farklı kenarı siyah renkte ve iki farklı köşegeni mavi renkte gösterilmiştir.  Köşegenler arasında kalan dar açının ölçüsü 24° olduğuna göre, bu düzgün çokgenin bir i	```json {   "soru_no": 8,   "soru_metni": "Şekilde, bir düzgün çokgenin altı farklı kenarı siyah renkte ve iki farklı köşegeni mavi renkte gösterilmiştir.\n\nKöşegenler arasında kalan dar açının ölçüsü 24° olduğuna göre, bu düzgün çokgenin bir iç açısının ölçüsü x kaç derecedir?",   "secenekler": { 
47	page	18911ba1-21bd-5dd7-8f8a-2cb315808199	Aromat -2023-2024-Matematik Soru Bankası	385	6	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Aromat -2023-2024-Matematik Soru Bankası\sayfa_0385.png	True	0.941	1.000	399	na göre, $x$ sayısının alabileceği değerlerin kümesi aşağıdakilerden hangisidir?	Aşağıda verilen 2 satır ve 2 sütundan oluşan tablo, en üst satırdan başlayarak soldan sağa doğru ve yukarıdan aşağıya doğru 3 artırılarak dolduruluyor. Tablodaki iki kutu arasındaki işlemlerin yapılma	```json {   "soru_no": 6,   "soru_metni": "Aşağıda verilen 2 satır ve 2 sütundan oluşan tablo, en üst satırdan başlayarak soldan sağa doğru ve yukarıdan aşağıya doğru 3 artırılarak dolduruluyor. Tablodaki iki kutu arasındaki işlemlerin yapılmasıyla A, B, C ve D sayıları oluşturuluyor.\n\nA, B, C ve 
48	page	483c596f-db62-5b27-915d-3fc90bab44e7	2023-2024-ACİL-TYT-AYT Geometri Soru Bankası	417	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2023-2024-ACİL-TYT-AYT Geometri Soru Bankası\sayfa_0417.png	True	0.702	0.907	536	l 2'deki konuma getirildiğinde silindirin içinde bulunan su hangi oranda azalır?	Taban yarıçapı r, yüksekliği h olan bir dik silindirin hacmi, `V_silindir = πr²h` formülü ile bulunur. Taban yarıçapı r, yüksekliği h olan bir dik koninin hacmi, `V_koni = \frac{πr²h}{3}` formülü ile 	```json {   "soru_no": 10,   "soru_metni": "Taban yarıçapı r, yüksekliği h olan bir dik silindirin hacmi, `V_silindir = πr²h` formülü ile bulunur.\nTaban yarıçapı r, yüksekliği h olan bir dik koninin hacmi, `V_koni = \\frac{πr²h}{3}` formülü ile bulunur.\n\nŞekil 1'deki yarısı su dolu cisim, bir tab
49	page	5dda18a2-bd85-51ce-b128-d230ff9815cd	345 2025 Tyt Ayt Geometri Soru Bankası 1	123	7	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0123.png	True	0.429	1.000	114	 $[AB] \perp [AC]$ $|AB| = 3$ cm $|BC| = 5$ cm olduğuna göre, $|EF|$ kaç cm'dir?	ABC dik üçgen EDCF eşkenar dörtgen [AB] ⊥ [AC] |AB| = 3 cm |BC| = 5 cm olduğuna göre, |EF| kaç cm'dir?	```json {   "soru_no": 7,   "soru_metni": "ABC dik üçgen\nEDCF eşkenar dörtgen\n[AB] ⊥ [AC]\n|AB| = 3 cm\n|BC| = 5 cm\nolduğuna göre, |EF| kaç cm'dir?",   "secenekler": {     "A": "20/9",     "B": "11/5",     "C": "12/5",     "D": "7/3",     "E": "8/3"   },   "has_diagram": true,   "diagram_descript
50	page	d3e36ae3-f2ff-5183-9225-56441aaef374	Bilgi Sarmal 2024 Ayt Kimya Sopru Bankasi	225	5	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmal 2024 Ayt Kimya Sopru Bankasi\sayfa_0225.png	True	0.245	0.370	322	}$'tur. II. $E_{pil} > 0,59 \text{ V}$'tur. III. $E_{pil} < 0,59 \text{ V}$'tur.	Voltmotre Tuz köprüsü Cu(k) Ni(k) 1 M 100 mL CuCl₂ 0,1 M 100 mL NiCl₂ Cu(k) → Cu²⁺(suda) + 2e⁻   E° = -0,34 V Ni(k) → Ni²⁺(suda) + 2e⁻   E° = 0,25 V Bilgilerine göre, I. E_pil = 0,59 V'tur. II. E_pil 	```json {   "soru_no": 5,   "soru_metni": "Voltmotre\nTuz köprüsü\nCu(k)\nNi(k)\n1 M 100 mL\nCuCl₂\n0,1 M 100 mL\nNiCl₂\nCu(k) → Cu²⁺(suda) + 2e⁻   E° = -0,34 V\nNi(k) → Ni²⁺(suda) + 2e⁻   E° = 0,25 V\nBilgilerine göre,\nI. E_pil = 0,59 V'tur.\nII. E_pil > 0,59 V'tur.\nIII. E_pil < 0,59 V'tur.\nyarg
